model,precision_raw,recall_raw,f1_raw,precision_pa,recall_pa,f1_point_adjust
Teacher (zero-shot),0.4,0.0531,0.0938,0.6538,0.1504,0.2446
Distilled Student (zero-shot),0.2778,0.0442,0.0763,0.5357,0.1327,0.2128
