Model Variant,Raw-F1 (Mean ± Std),Affiliation-F1 (Mean ± Std),Point-Adjusted F1 (Mean ± Std),PR-AUC (Mean ± Std)
MultiScale-911p (W128),0.3373 ± 0.0030,0.6365 ± 0.0055,0.4604 ± 0.0069,0.5397 ± 0.0030
MultiScale-911p,0.3373 ± 0.0030,0.6365 ± 0.0055,0.4604 ± 0.0069,0.5397 ± 0.0030
